iter	RMSE_SumError	RMSE_SumWeight	MAPE_SumError	MAPE_SumWeight	MAE_SumError	MAE_SumWeight
33	7371194370	8061	42579.53124	8061	3813595.612	8061
34	7359888920	8061	42458.51955	8061	3809662.151	8061
35	7337438238	8061	42468.22966	8061	3806490.409	8061
36	7324162880	8061	42540.56618	8061	3803731.617	8061
37	7325545690	8061	42555.12183	8061	3805883.79	8061
38	7311236665	8061	42667.93563	8061	3806436.658	8061
39	7295869110	8061	42647.56559	8061	3805355.706	8061
40	7285482670	8061	42903.49319	8061	3805045.271	8061
41	7279632489	8061	42877.1217	8061	3804289.204	8061
42	7277697018	8061	42977.58557	8061	3805968.284	8061
43	7274482893	8061	42931.87135	8061	3804439.203	8061
44	7272616738	8061	42911.24467	8061	3804597.611	8061
45	7267635519	8061	42965.20755	8061	3805659.181	8061
46	7263204712	8061	42925.59331	8061	3807331.013	8061
47	7251264752	8061	42889.27894	8061	3805976.094	8061
48	7251832081	8061	43220.12516	8061	3805137.412	8061
49	7253281032	8061	43218.96385	8061	3807386.514	8061
50	7248156843	8061	43230.28395	8061	3806725.37	8061
51	7247805785	8061	43241.87155	8061	3806639.668	8061
52	7246062659	8061	43258.08089	8061	3806326.553	8061
53	7240168932	8061	43292.28629	8061	3805688.835	8061
54	7236133449	8061	43269.98098	8061	3805851.563	8061
55	7231626934	8061	43395.164	8061	3806461.475	8061
56	7227984466	8061	43369.38396	8061	3808332.368	8061
57	7234181135	8061	43276.01595	8061	3811346.889	8061
58	7231627369	8061	43262.48424	8061	3811372.441	8061
59	7231326139	8061	43205.39089	8061	3811324.645	8061
60	7233772369	8061	43277.33389	8061	3814921.446	8061
61	7231936504	8061	43335.95325	8061	3815605.888	8061
62	7230845647	8061	43327.26872	8061	3816684.015	8061
63	7233620110	8061	43319.87429	8061	3818412.787	8061
64	7230443940	8061	43335.83811	8061	3818367.226	8061
65	7228820665	8061	43336.78412	8061	3818482.368	8061
66	7228196213	8061	43343.19868	8061	3820039.277	8061
67	7225441676	8061	43330.391	8061	3820228.712	8061
68	7225277122	8061	43328.33752	8061	3821067.557	8061
69	7228727977	8061	43284.812	8061	3822943.589	8061
70	7228327600	8061	43285.20398	8061	3824912.187	8061
71	7227639833	8061	43406.51519	8061	3824742.159	8061
72	7229096179	8061	43418.48877	8061	3825907.413	8061
73	7232550600	8061	43386.01511	8061	3829077.642	8061
74	7233556700	8061	43357.26032	8061	3830848.563	8061
75	7225214703	8061	43367.83249	8061	3831602.126	8061
76	7222631915	8061	43297.09393	8061	3830155.564	8061
77	7221022685	8061	43296.90114	8061	3830079.684	8061
78	7227021483	8061	43391.03596	8061	3832412.139	8061
79	7229409743	8061	43414.77155	8061	3833924.61	8061
80	7233523160	8061	43468.80758	8061	3837054.032	8061
81	7233750827	8061	43632.2572	8061	3839310.283	8061
82	7233598059	8061	43767.32979	8061	3839368.416	8061
83	7232808056	8061	43773.74107	8061	3839092.346	8061
84	7234793018	8061	43781.76816	8061	3841814.76	8061
85	7242496051	8061	43690.32456	8061	3847000.785	8061
86	7240068693	8061	43692.66791	8061	3846678.218	8061
87	7242897061	8061	43703.16322	8061	3847775.2	8061
88	7245221197	8061	43715.21514	8061	3850939.483	8061
89	7249430721	8061	43770.73673	8061	3854298.808	8061
90	7251380457	8061	43805.95604	8061	3855339.552	8061
91	7249803392	8061	43805.70978	8061	3855908.944	8061
92	7249076406	8061	43811.48284	8061	3855813.23	8061
93	7250149502	8061	43804.34317	8061	3857193.737	8061
94	7252078244	8061	43820.69685	8061	3857569.111	8061
95	7244423899	8061	43971.12385	8061	3859449.452	8061
96	7245785967	8061	43972.45948	8061	3859123.853	8061
97	7247431848	8061	43997.04448	8061	3860052.125	8061
98	7248403849	8061	44097.00484	8061	3861882.548	8061
99	7249539975	8061	44107.16327	8061	3862595.861	8061
